id,name,cost,tag,atk,hp,copies,cost_color,cost_generic,element,art,desc,image,rarity,budget_p,verdict,note
CR001,불씨정령,1,normal,3,1,2,1,0,fire,flame,연소 1,,common,7,적정,
CR002,고블린 폭탄병,1,normal,2,1,0,1,0,fire,sword,연소 1 · 폭발,,common,5,적정,
CR003,파이어버그,1,normal,3,1,0,1,0,fire,sword,폭발,,common,1,6,
CR004,잿불새,2,fly,1,5,2,1,1,fire,hawk,연소 1,assets/art/CR05.png,common,9,적정,
CR005,작열병,2,normal,2,2,1,1,1,fire,burst,폭발,,common,6,적정,
CR006,화염정령,3,normal,5,5,2,1,2,fire,flame,연소 2,,common,15,적정,
CR007,불꽃광대,3,normal,3,3,1,1,2,fire,burst,폭발,,common,9,적정,
CR008,화염조,4,fly,3,8,1,2,2,fire,wyvern,연소 2 · 폭발,assets/art/CR08.png,uncommon,20,적정,
CR009,재의 수호자,4,guard,3,9,1,2,2,fire,shield,연소 2,,uncommon,24,적정,
CR010,용암거인,8,normal,11,12,1,3,5,fire,helmet,연소 3 · 이번 게임에서 소멸한 크리처 1개체마다 비용 -1,assets/art/CR10.png,rare,34,적정,
CR011,불사조,5,fly,4,5,1,2,3,fire,wings,연소 2 · 소멸 시 불사조의 알로 변한다,,rare,21,적정,
CR012,불사조의 알,1,normal,0,1,0,1,0,fire,sword,내 턴이 시작되면 불사조로 되돌아온다,,common,4,-3,
CR013,화신,5,pierce,8,7,1,2,3,fire,flame,연소 2,,uncommon,31,적정,
CR014,겁화룡,6,fly,10,7,1,3,3,fire,wyvern,연소 3 · 폭발,assets/art/CR10.png,legendary,47,적정,
CR015,용암 정령,2,normal,3,1,0,1,1,fire,sword,—,,common,8,-1,
CR016,불꽃 병사,2,normal,2,1,0,1,1,fire,sword,—,,common,8,-3,
CR017,고블린 지휘관,3,normal,3,3,0,1,2,fire,sword,속공,,uncommon,9,적정,
CR018,고블린 전차,3,normal,3,6,0,1,2,fire,sword,연소 2 · 폭발 · 소환 시 아군 1개체를 파괴해 삼켰다가 소멸 시 되돌려 놓는다,,rare,12,적정,
CR019,고블린 방패병,4,guard,2,7,0,2,2,fire,shield,폭발,,common,18,적정,
CR020,와이번,4,fly,4,6,0,2,2,fire,wings,연소 2,,common,23,-1,
CR021,화염 아귀,3,normal,3,1,0,1,2,fire,sword,내가 스펠을 쓸 때마다 HP +2,,uncommon,7,적정,
CR022,작열 좀비,2,normal,3,2,0,1,1,fire,sword,연소 1 · 소멸 시 잿더미 좀비로 되살아난다,,uncommon,8,적정,
CR023,잿더미 좀비,1,guard,0,3,0,1,0,fire,shield,—,,common,6,적정,
CR024,홍염,2,normal,0,3,0,1,1,fire,sword,연소 1 · 개전 · 소멸 시 적 전체에 3 피해,,common,-2,5,
CR025,이그니스,8,guard,20,20,0,3,5,fire,shield,"HP 20 이하에서만 낼 수 있고, 내가 받는 모든 피해를 무효로 하며, 소멸하면 즉시 패배한다",,common,12,68,
CR026,고블린 미치광이,3,normal,3,1,0,1,2,fire,sword,소환 시 자신을 제외한 모든 크리처에 12 피해를 1씩 나눠 준다,,uncommon,7,적정,
CR027,용암 쥐,2,normal,3,2,0,1,1,fire,sword,연소 1 · 소멸 시 카드 1장을 뽑는다,,uncommon,8,적정,
CR028,화염 광신도,3,normal,3,2,0,1,2,fire,sword,소환 시 소각된 주문 1장을 무작위로 손에 되돌린다,,uncommon,8,적정,
CR029,푸른 불꽃의 수호병,3,guard,2,4,0,1,2,fire,shield,내가 쓴 스펠에는 피해를 받지 않는다,,uncommon,12,적정,
CR030,슬라임,1,normal,0,2,0,1,0,water,sword,증식,,common,2,적정,
CR031,피라냐,1,normal,1,2,0,1,0,water,sword,—,,common,4,적정,
CR032,가버그,1,guard,0,3,0,1,0,water,shield,—,,common,6,적정,
CR033,전기 해파리,1,normal,1,1,2,1,0,water,sword,환류,,common,3,적정,
CR034,닉시,2,normal,1,3,2,1,1,water,sword,밀물,,common,5,적정,
CR035,운디네,2,normal,1,3,0,1,1,water,sword,소환 시 지형 카드 1장을 뽑는다,,uncommon,5,적정,
CR036,워터리퍼,2,fly,1,1,1,1,1,water,wings,환류,,common,5,적정,
CR037,올렝,2,guard,1,4,0,1,1,water,shield,—,,common,10,적정,
CR038,세이렌,3,normal,1,4,1,1,2,water,sword,스펠에 의한 피해를 받지 않는다,,common,6,적정,
CR039,얼음 슬라임,3,normal,2,3,0,1,2,water,sword,증식,,uncommon,7,적정,
CR040,오아네스,3,normal,4,4,0,1,2,water,sword,—,,common,12,적정,
CR041,인어 전사,3,normal,3,2,1,1,2,water,sword,환류,,common,8,적정,
CR042,상어 인간,3,normal,4,1,0,1,2,water,sword,소환 시 상대에게 수호 크리처가 있으면 비용을 돌려받는다,,rare,9,적정,
CR043,리자드 마술사,3,normal,2,3,0,1,2,water,sword,내가 주문을 쓸 때마다 뒤집힌 내 지형 1장을 되돌린다,,common,7,적정,
CR044,자르젤,3,fly,1,4,0,1,2,water,wings,환류,,common,8,적정,
CR045,리자드 전사,3,normal,3,3,0,1,2,water,sword,연합,,uncommon,9,적정,
CR046,인어 마술사,3,normal,2,2,1,1,2,water,sword,내가 주문을 쓸 때마다 +1/+1,,common,6,적정,
CR047,해마 기병,4,normal,4,5,0,2,2,water,sword,밀물,,common,13,적정,
CR048,물의 정령,4,guard,3,7,1,2,2,water,shield,—,,common,20,적정,
CR049,마인드 플레어,4,normal,3,6,0,2,2,water,sword,소환 시 크리처 1개체를 골라 인쇄된 능력치로 되돌리고 효과를 지운다,,rare,12,적정,
CR050,켈피,4,normal,3,6,1,2,2,water,sword,환류,,common,12,적정,
CR051,바다 공룡,4,normal,6,6,0,2,2,water,sword,—,,common,18,적정,
CR052,스킬라,5,normal,3,3,0,2,3,water,sword,소환 시 1/4 수호 여왕의 가신 2개체를 양옆에 소환,,rare,9,적정,
