id,name,cost,drain_type,effect_value,charge,target,copies,cost_color,cost_generic,element,art,desc,image,rarity,note
EN001,연쇄 발화,2,triggered,3,4,단일,1,1,1,fire,flame,내 크리처가 소멸할 때마다 적 1개체에 3 피해,assets/art/EN03.png,common,
EN002,불의 제단,4,persistent,2,3,전체,1,2,2,fire,flame,내 턴 종료마다 적 전체에 2 피해,assets/art/EN01.png,uncommon,
EN003,고블린 화염포,3,persistent,3,5,단일,0,1,2,fire,flame,내 턴 종료마다 남은 충전 수만큼 무작위 크리처에 1 피해,,uncommon,
EN004,고블린 지뢰,3,persistent,3,6,단일,0,1,2,fire,flame,폭발이 터질 때마다 그 피해만큼 상대 크리처 1개체에 (무작위),,uncommon,
EN005,불의 샘,2,persistent,1,5,조건전체,0,1,1,fire,flame,내 턴 종료마다 내 연소 크리처 전체 HP +1,,common,
EN006,충전식 화염구,3,persistent,1,4,전체,0,1,2,fire,flame,내가 주문을 쓸 때마다 충전 +1 (최대 8) · 내 크리처가 없는 채로 내 턴이 끝나면 충전만큼 적 전체와 상대에게 피해를 주고 소멸한다,,uncommon,
EN007,해무,2,persistent,4,3,단일,1,1,1,water,flame,내 턴 종료마다 상대 크리처 1개체 ATK −2,assets/art/EN03.png,common,
EN008,조수의 인장,4,persistent,4,6,상대,1,2,2,water,flame,내 턴 종료마다 상대에게 4 피해,assets/art/EN02.png,uncommon,
EN009,생명의 샘,2,persistent,2,5,단일,1,1,1,nature,flame,내 턴 종료마다 내 크리처 1개체에 +1/+1,assets/art/EN01.png,common,
EN010,대지의 축복,4,triggered,4,7,단일,1,2,2,nature,flame,내 크리처가 소환될 때마다 그 크리처에 +1/+2,assets/art/EN02.png,uncommon,
EN011,강철 의지,2,triggered,2,6,단일,1,1,1,steel,flame,내 크리처가 피해를 받을 때마다 그 개체 HP 2 회복,assets/art/EN03.png,common,
EN012,병기고,4,persistent,4,6,단일,1,2,2,steel,flame,내 턴 종료마다 내 크리처 1개체에 경화 1,assets/art/EN02.png,uncommon,
EN013,고대 제단,2,persistent,2,5,상대,1,1,1,earth,flame,내 턴 종료마다 상대에게 2 피해,assets/art/EN01.png,common,
EN014,전열 구축,4,triggered,3,9,단일,1,2,2,earth,flame,상대가 크리처를 소환할 때마다 그 크리처에 3 피해,assets/art/EN02.png,uncommon,
EN015,흡혈 의식,2,triggered,3,4,단일,1,1,1,dark,flame,내 크리처가 소멸할 때마다 내 HP 3 회복,assets/art/EN03.png,common,
EN016,피의 성배,4,triggered,3,9,단일,1,2,2,dark,flame,내가 HP를 지불할 때마다 적 1개체에 3 피해,assets/art/EN03.png,uncommon,
EN017,빛의 장막,2,triggered,3,4,단일,1,1,1,light,flame,내 크리처가 소환될 때마다 내 HP 3 회복,assets/art/EN03.png,common,
EN018,성화,4,persistent,4,6,단일,1,2,2,light,flame,내 턴 종료마다 내 HP 4 회복,assets/art/EN01.png,uncommon,
