element,kind,name,cost,cost_color,cost_generic,tag,atk,hp,copies,rule,budget,spent,verdict
fire,creature,파이어버그,1,1,0,일반,1,1,1,폭발,3,3,적정
fire,creature,헤레스,1,1,0,일반,2,2,1,연소 1,6,6,적정
fire,creature,블러드서커,1,1,0,일반,1,1,1,흡혈,3,3,적정
fire,creature,레드아이스톤,1,1,0,일반,1,1,0,제물 4 · 덱 맨 위 3장을 보고 1장을 손으로,4,3,여유-1
fire,creature,헬시온,2,1,1,일반,2,3,2,폭발 · 연소 1,8,7,여유-1
fire,creature,감시하는 눈,2,1,1,일반,1,2,0,덱 맨 위 5장을 보고 1장을 손으로,4,4,적정
fire,creature,헬캣,2,1,1,일반,2,5,1,연소 1,9,9,적정
fire,creature,그렘린,2,1,1,일반,2,1,1,속공,5,5,적정
fire,creature,고블린,3,1,2,일반,3,3,2,폭발,9,9,적정
fire,creature,헬하운드,3,1,2,일반,4,4,2,—,12,12,적정
fire,creature,홉고블린,3,1,2,수호,1,6,0,폭발,14,14,적정
fire,creature,아제르,3,1,2,일반,5,5,1,연소 2,15,15,적정
fire,creature,하피,3,1,2,비행,2,4,1,—,12,12,적정
fire,creature,나가,3,1,2,일반,3,4,0,크리처가 소멸할 때마다 ATK +1,10,10,적정
fire,creature,헬고트,3,1,2,일반,3,6,0,—,12,12,적정
fire,creature,켈베로스,4,2,2,일반,3,8,0,연격 3,16,14,여유-2
fire,creature,불의 거인,4,2,2,일반,5,9,1,연소 2,19,19,적정
fire,creature,불타는 갑옷,4,2,2,일반,3,9,1,폭발,15,15,적정
fire,creature,미노타 망치병,4,2,2,일반,7,7,1,육중,22,21,여유-1
fire,creature,미노타 도끼병,4,2,2,일반,4,6,0,광분,14,14,적정
fire,creature,화염 골렘,4,2,2,수호,2,9,1,연소 2,22,22,적정
fire,creature,메두사,4,2,2,일반,3,4,1,소환 시 뱀 2개체를 양옆에 소환,10,10,적정
fire,creature,뱀,1,1,0,일반,1,2,0,—,4,4,적정
fire,creature,데몬,5,2,3,일반,5,10,0,내 턴 종료마다 다른 모든 크리처에 1 피해,20,20,적정
fire,creature,이프리트,5,2,3,일반,6,13,0,연소 2,27,25,여유-2
fire,creature,발러,6,3,3,일반,6,12,0,폭발 · 광분,24,24,적정
fire,creature,히드라,7,3,4,일반,9,8,0,연격 6,26,26,적정
fire,spell,화염 방패,1,1,0,강화,,,0,내 크리처 1개체에 +0/+5 · 연소 2 부여,3,5,초과+2
fire,spell,시체 소각,1,1,0,드로우,,,0,내 크리처 1개체를 파괴하고 카드 2장을 뽑는다,2,2,적정
fire,spell,파이어 애로우,1,1,0,단일,,,1,크리처 1개체 또는 상대에게 2 피해,2,2,적정
fire,spell,산불,1,1,0,지형,,,0,내 지형 맨 오른쪽 1장을 부수고 간이 지형 5장을 만든다,2,5,초과+3
fire,spell,제물,1,1,0,강화,,,0,내 크리처 1개체의 ATK 을 그 HP 만큼 올린다,3,3,적정
fire,spell,광분,1,1,0,강화,,,0,내 크리처 1개체의 ATK 을 2배로,4,3,여유-1
fire,spell,화염검 생성,1,1,0,강화,,,0,남은 불 자원을 모두 써서 그 수만큼 내 크리처 1개체를 강화,3,3,적정
fire,spell,피의 문신,2,1,1,강화,,,0,내 크리처 1개체를 파괴하고 그 ATK 만큼 내 크리처 전체 강화,4,4,적정
fire,spell,화염구,2,1,1,단일,,,1,크리처 1개체 또는 상대에게 5 피해,4,5,초과+1
fire,spell,지옥문 소환,2,1,1,소환,,,0,내 크리처를 전부 파괴하고 그 수만큼 헬시온을 소환한다,10,8,여유-2
fire,spell,작열 감옥,2,1,1,부여,,,1,상대 크리처 1개체에 연소 5 부여,4,10,초과+6
fire,spell,불꽃의 벽,3,1,2,광역,,,1,연소가 없는 모든 크리처에 4 피해,3,4,초과+1
fire,spell,화산 폭발,4,2,2,광역,,,0,내 지형 맨 오른쪽 1장을 부수고 연소가 없는 모든 크리처에 12 피해를 1씩 나눠 준다,6,5,여유-1
fire,spell,메테오,6,3,3,광역,,,0,모든 크리처와 상대에게 10 피해,14,10,여유-4
fire,enchant,불사조의 깃털,1,1,0,발동형,2,3,0,내 연소 크리처가 소멸하면 원래 모습으로 되살린다,8,6.0,적정
fire,enchant,악마의 석상,2,1,1,발동형,2,5,1,내 크리처가 소멸할 때마다 내 크리처 전체 ATK +1,13,20.0,초과+7
fire,enchant,피의 망토,2,1,1,발동형,3,5,0,내 크리처가 소환될 때마다 흡혈을 부여한다,14,15.0,적정
fire,enchant,루비 목걸이,3,1,2,발동형,4,3,0,내가 주문을 쓸 때마다 그 주문의 복제본을 손으로,22,12.0,여유-10
water,creature,슬라임,1,1,0,일반,0,2,0,증식,2,2,적정
water,creature,피라냐,1,1,0,일반,1,2,0,—,4,4,적정
water,creature,가버그,1,1,0,수호,0,3,1,—,6,6,적정
water,creature,전기 해파리,1,1,0,일반,1,1,2,환류,3,3,적정
water,creature,닉시,2,1,1,일반,1,3,2,밀물,5,5,적정
water,creature,운디네,2,1,1,일반,1,3,0,소환 시 지형 카드 1장을 뽑는다,5,5,적정
water,creature,워터리퍼,2,1,1,비행,1,1,1,환류,5,5,적정
water,creature,올렝,2,1,1,수호,1,4,1,—,10,10,적정
water,creature,세이렌,3,1,2,일반,1,4,1,스펠에 의한 피해를 받지 않는다,6,6,적정
water,creature,얼음 슬라임,3,1,2,일반,2,3,0,증식,7,7,적정
water,creature,오아네스,3,1,2,일반,4,4,1,—,12,12,적정
water,creature,인어 전사,3,1,2,일반,3,2,1,환류,8,8,적정
