속성,구분,이름,코스트,규칙,예산 환산,대표 카드·검산,카운터
불,크리처 키워드,연소 N,—,내 턴 종료를 N회 겪으면 소멸한다.,×1.5 (N=3) / ×2.0 (N=1),불꽃정령 3코 6/6 연소3 / 18/18 / ok,수호로 흘리기 · 바운스
불,크리처 키워드,폭산 X,—,소멸·파괴될 때 적 전체 개체에 X 피해.,−1.5X,화염조 4코 비행 4/6 / 22/22 / ok,개체 분산 배치
불,시그니처 스펠,분신,2,내 크리처 1개체 소멸 → 그 ATK만큼 적 전체 피해.,광역 티어 2 → 실효 4,평균 ATK 4 가정 / 의도적 상향 / warn,대가: 카드 1 + 슬롯 1
불,시그니처 스펠,겁화,5,적 전체 9 피해. 내 크리처도 3 피해.,광역 티어 7 + 자해 2,5코 광역 9 / 자해 +2 / warn,내 보드가 넓으면 손해
물,크리처 키워드,환류,—,처음 파괴될 때 손으로 돌아간다 (1회).,−6,심해수호 4코 수호 1/6 / 14/14 / ok,광역 · 손패 압박
물,크리처 키워드,밀물 N,—,소환 시 N코 이하 상대 크리처 1개체를 손으로.,−N,해류지기 4코 비행 3/4 / 16/16 / ok,고코스트 위협
물,시그니처 스펠,역류,3,상대 크리처 1개체를 손으로 되돌린다 (제한 없음).,바운스 티어 3코 = 1개체,바운스 무제한 / 적정 / ok,영구 해답이 아님
물,시그니처 스펠,환수,2,내 크리처 1개체 회수 + 카드 1장 드로우.,자기 바운스 + 드로우 1,2코 적정 / 적정 / ok,덱 소진 = 패배
자연,크리처 키워드,성장 +A/+H,—,내 턴 종료마다 상승. 최대 N회까지.,−1.5 × 소모량 × N,묘목 2코 0/2 → 4턴 뒤 4/6 / 2/2 / ok,저코스트 제거로 조기 처리
자연,크리처 키워드,증식,—,소환 시 같은 이름 개체 1을 같은 슬롯에 추가.,×0.5,번식체 3코 2/2 ×2개체 / 6/6 / ok,광역에 스택 전체 노출
자연,시그니처 스펠,번성,3,내 크리처 1개체에 +2/+3 영구 부여.,강화 티어 3코 = 7,소모 7 / 7/7 / ok,강화 대상 제거 시 2장 손실
자연,시그니처 스펠,번식,4,2/2 크리처 3개체를 소환한다.,크리처 예산 환산,소모 18 / 18/18 / ok,광역 한 장에 전멸
강철,크리처 키워드,경화 N,—,받는 모든 피해를 N 감소.,−4N,중장병 4코 수호 2/6 / 16/16 / ok,큰 단일 한 방 (정예)
강철,크리처 키워드,연마 +A/+H,—,소환 시 다른 내 크리처 1개체에 영구 부여.,−(부여 소모량),연마병 3코 3/2 +1/+2 / 8/8 / ok,강화 대상 제거
강철,시그니처 스펠,주조,2,내 크리처 1개체에 경화 1 부여.,경화1 = −4 = 2코 단일 4,2코 부여 / 4/4 / ok,제거 티어 계산을 사후 교란
강철,시그니처 스펠,파쇄,2,상대 인챈트 1개의 충전을 4 제거.,파쇄 티어 2코 = 4,2코 파쇄 / 4/4 / ok,인챈트 없으면 죽은 카드
대지,크리처 키워드,관통,—,초과 피해가 같은 슬롯 다음 개체로 이월.,스탯 가중치 3A + H,가시병 2코 2/2 / 8/8 / ok,수호 분산 · 경화
대지,크리처 키워드,진형 +H,—,슬롯 1~3번에 있는 동안 HP +X.,−(부여 소모량)/2,성문지기 4코 수호 2/6 → 앞자리 2/9 / 16/17 / ok,앞자리를 비워 조건 파괴
대지,시그니처 스펠,함몰,3,상대 슬롯 1~3번의 크리처에 각각 4 피해.,광역 티어 3 + 대상 제한 1,3코 광역 4 / 대상 제한 +1 / warn,수호를 뒤로 배치
대지,시그니처 스펠,관통 사격,2,"크리처 1개체에 3 피해, 초과분 이월.",단일 티어 4 − 조건부 1,2코 단일 3 / 조건부 −1 / ok,스택 안 쌓으면 약한 제거
어둠,크리처 키워드,대가 X,—,소환 시 내 플레이어 HP를 X 지불.,+X/2 (유일한 양수),피의광신도 2코 4/3 대가6 / 11/11 / ok,직접 피해 레이스 · 지연
어둠,크리처 키워드,흡혈 X,—,플레이어를 공격할 때 내 HP X 회복.,−1.5X,흡혈귀 3코 2/5 흡혈2 / 9/9 / ok,수호로 차단 시 발동 자체 봉쇄
어둠,시그니처 스펠,피의 계약,2,내 HP 6 지불 → 크리처 1개체에 7 피해.,단일 4 + HP6(+3),2코 단일 7 / 7/7 / ok,자기 HP가 대가
어둠,시그니처 스펠,어둠의 부름,3,내 HP 8 지불 → 2/3 크리처 2개체 소환.,12 + HP8(+4) = 16,소모 14 / 14/16 / ok,빨리 못 이기면 자멸
빛,크리처 키워드,가호,—,받는 첫 피해를 1회 무효화.,−6,수호천사 4코 수호 2/5 / 14/14 / ok,작은 피해 두 번 (군세)
빛,크리처 키워드,축복 X,—,소환 시 내 플레이어 HP를 X 회복.,−X/2 (대가의 대칭),축복사제 3코 2/4 축복8 / 8/8 / ok,회복량을 넘는 페이스
빛,시그니처 스펠,가호의 빛,3,내 크리처 1개체에 가호 부여.,가호 −6 = 3코 단일 6,3코 부여 / 6/6 / ok,초과 피해 소멸 규칙과 상승작용
빛,시그니처 스펠,성광,4,내 플레이어 HP를 16 회복.,회복 티어 4코 = 16,4코 회복 / 16/16 / ok,보드에 개입하지 않음
불,드로우 스펠,섬광 계시,2,"덱 위 3장 공개. 이번 턴에만 사용 가능, 턴 종료 시 소멸.",임펄스 ≈ 실질 1.3장 = 2코,불 정체성: 지금 아니면 사라짐 / 적정 / ok,마나가 남아야 이득
불,제거 스펠,소이탄,3,크리처에 5 피해. 초과분은 상대 플레이어에게 이월.,단일 6 → 5 + 이월,제거이자 페이스 딜 / 적정 / ok,저HP 크리처엔 과잉
물,드로우 스펠,조류 읽기,3,카드 2장을 뽑는다.,2장 = 3코 (순수·무조건),드로우 본가 — 유일한 무조건 / 적정 / ok,덱 소진 = 패배
물,제거 스펠,심연으로,4,상대 크리처 1개체를 덱 아래로 되돌린다.,바운스 3코 + 덱아래 1,파괴 아닌 영구 격리 / 적정 / ok,상대 덱이 두꺼워짐
자연,드로우 스펠,무성한 수확,3,내 크리처 개체 수만큼 뽑는다 (최대 3장).,기대 2장 = 3코,군세 전용 — 보드가 곧 카드 / 적정 / ok,보드 비면 죽은 카드
자연,제거 스펠,야수의 습격,2,내 크리처 1개체의 ATK만큼 적 크리처에 피해.,평균 ATK 4 = 단일 4,상한 없음 — 큰 크리처면 8+ / 적정 / ok,보드 없으면 사용 불가
강철,드로우 스펠,병기고,2,덱에서 크리처 1장을 찾아 손으로.,튜터 ≈ 1.3장 = 2코,확정 탐색 — 콤보 안정화 / 적정 / ok,크리처만 · 카드 수는 안 늘음
강철,제거 스펠,분쇄,4,크리처 1개체에 8 피해.,단일 티어 4코 = 8 (정가),조건 없는 정직한 제거 / 적정 / ok,경화·가호에 막힘
대지,드로우 스펠,견고한 진지,3,"크리처 3개체 이상이면 2장, 아니면 1장.",기대 1.8장 = 2.7코,보드 상태 참조 / 적정 / ok,전개 전에는 손해
대지,제거 스펠,매몰,4,상대 가장 왼쪽 크리처를 파괴한다.,파괴 6코 − 위치 제한 2,수호는 앞자리 → 벽 파괴 / 적정 / ok,상대가 배치로 회피 가능
어둠,드로우 스펠,금단의 지식,2,내 HP 8 지불 → 카드 2장을 뽑는다.,2장 3코 − HP8(1코),최저가 드로우 / 적정 / ok,HP가 곧 승리 조건
어둠,제거 스펠,잠식,4,내 HP 16 지불 → 크리처 1개체를 파괴.,파괴 6코 − HP16(2코),조건 없는 확정 파괴 / 적정 / ok,HP 16은 게임의 1/4
